path,package,category,proposed_disposition,review_depth,bytes,sha256
docs/as-built/2026-09-25/script-entrypoints.json,,documentation,retain-review-in-context,mechanical-census,4773,124b89d9dd0f81e32981929963eb4f77ec4672ff311d1d10cef5ab09d7067cee
docs/as-built/2026-09-25/source-atlas.json,,documentation,retain-review-in-context,mechanical-census,1442907,42ecf5180f8ccdae6ffe994fc7fbfea1e382089a93c67d4186fd9744f4849fa0
docs/as-built/2026-09-25/state.md,,documentation,retain-review-in-context,mechanical-census,12945,c709f5e8bed8f6a4e2d6a3ad4e5ef460803a1b4c02c93d46b623df187d365d34
docs/as-built/2026-09-25/storage-tables.json,,documentation,retain-review-in-context,mechanical-census,8383,49cef1e3bb2bb2272c712666a8d106e3ea31db027d17e3560e174cd79a421d31
docs/as-built/2026-09-25/subsystems.md,,documentation,retain-review-in-context,mechanical-census,20807,e59ce057137ccc10b6b709ea4386ebddbe8f5f419bfe75b46cd29282ae4d6d08
docs/as-built/2026-09-25/subsystems.md.in,,documentation,retain-review-in-context,mechanical-census,18850,7ed098b708e3dc8cc12d75830ab471ab616d571ab4bc0b063342c7ab19056f6f
docs/as-built/2026-09-25/symbols.json,,documentation,retain-review-in-context,mechanical-census,1285812,a311c44f96c91cad45b3377b33ebfd1a3eca08365093550b63d38c75701d0248
docs/as-built/2026-09-25/validate.py,,documentation,retain-review-in-context,mechanical-census,2632,e4499ac6c6e7a295988f5570607dcd1cfc71c16223feb7eb32d0cf791065a7af
docs/as-built/2026-09-25/validate_mermaid.mjs,,documentation,retain-review-in-context,mechanical-census,1508,8780911f6e9bee9ada383299ba56375a27d55e5f60e95573071a4ba6bf83a268
docs/as-built/2026-09-25/validation-results.json,,documentation,retain-review-in-context,mechanical-census,235,7bb800bb588b9bc97e7eb779defd062506aad699d6a28b0e31983d6d7c35b314
docs/as-built/2026-09-25/verification.md,,documentation,retain-review-in-context,mechanical-census,9358,1a5051fbb61a3731e04e2442e98f47b3937a2586138bdfa75767b64044ef9169
docs/engineering/QUALITY-DEBT.md,,documentation,retain-review-in-context,mechanical-census,6848,7c496e762564cc1afe9419e9ad5450b35d1325f2d6dae3b182ed9a32eb04fda9
docs/engineering/QUALITY-GATE.md,,documentation,retain-review-in-context,mechanical-census,18686,edb6d66548b1936b80f906566c1bbf783991b422eb900a509d6b0bf4b1267213
docs/epics/.gitkeep,,documentation,retain-review-in-context,mechanical-census,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6
docs/epics/standing-agent-engine/README.md,,documentation,retain-review-in-context,mechanical-census,4661,c3064129e97b823813fd0c3abe27ba1e2fb688c91b769ab9a615cc3a1c04b774
docs/epics/standing-agent-engine/sprints/sprint-1-continuous-cognition/SAE-101-domain-exports.md,,documentation,retain-review-in-context,mechanical-census,1107,5149f6fb65ce22bfd3fe9045fad4cd70d11c79d4bdcafc5890c18607f4c5a7d2
docs/epics/standing-agent-engine/sprints/sprint-1-continuous-cognition/SAE-102-agent-continuous-loop.md,,documentation,retain-review-in-context,mechanical-census,1451,c9dfa7463911fb21ec71ba49e9281e5475d0184888595ac1bff7c54e238394cb
docs/epics/standing-agent-engine/sprints/sprint-1-continuous-cognition/SAE-103-dual-process-brain.md,,documentation,retain-review-in-context,mechanical-census,2426,dec47ffc0ec345067ff23bc86107761a5d804a6bf826ba9a5a7e156f23dc2e58
docs/epics/standing-agent-engine/sprints/sprint-1-continuous-cognition/SAE-104-tick-memory-filter.md,,documentation,retain-review-in-context,mechanical-census,1494,a72f651321658643dc5e08f089c440a1b6d3ffc0599c9a4604c4d12b995cddbb
docs/epics/standing-agent-engine/sprints/sprint-2-world-adapters/SAE-201-affordance-negotiation.md,,documentation,retain-review-in-context,mechanical-census,1405,b92cd65e00dd18256d0fef16f56b3c57af5c0a6e0789a33771d0bd82a1de1632
docs/epics/standing-agent-engine/sprints/sprint-2-world-adapters/SAE-202-authoritative-estop.md,,documentation,retain-review-in-context,mechanical-census,1585,0da82c12054fbbcc8762b4991f5268bee5ad0563f67e6b009d799943693e1246
docs/epics/standing-agent-engine/sprints/sprint-2-world-adapters/SAE-203-stream-world-adapter.md,,documentation,retain-review-in-context,mechanical-census,1273,71568d7f5ca976d70a81cd1fe531fb333069772d2dce8036a1ed65ba34731c07
docs/epics/standing-agent-engine/sprints/sprint-2-world-adapters/SAE-204-multi-adapter-composition.md,,documentation,retain-review-in-context,mechanical-census,1321,435207c9a3c45eb5ef578caf59670670b0f73e9e8daa91c6b241b4e6f639f58b
docs/epics/standing-agent-engine/sprints/sprint-3-fleet-intent-steering/SAE-301-organization-squad-tenancy.md,,documentation,retain-review-in-context,mechanical-census,1408,25612a0357d6d4b381ef44ed18b5c66cb4d075b30f53d02ee4f1b63d6d9adc15
docs/epics/standing-agent-engine/sprints/sprint-3-fleet-intent-steering/SAE-302-composite-intent-charter.md,,documentation,retain-review-in-context,mechanical-census,1546,16a0794e0f81144c28f03d53158e2d78a30c3b9fc5420b3c4115f995c532de21
docs/epics/standing-agent-engine/sprints/sprint-3-fleet-intent-steering/SAE-303-inflight-course-correction.md,,documentation,retain-review-in-context,mechanical-census,1748,ad5d3448edc0d78156e78519cf041fb69fbdb6fe6407ace2a0e5564113945dcb
docs/epics/standing-agent-engine/sprints/sprint-3-fleet-intent-steering/SAE-304-fleet-supervisor-lifecycle.md,,documentation,retain-review-in-context,mechanical-census,1665,8157882e9d36979669c30b4afad49518f79d248c97d73994429c55eaa0b38a55
docs/epics/standing-agent-engine/sprints/sprint-4-engine-config-inference/SAE-401-declarative-engine-config.md,,documentation,retain-review-in-context,mechanical-census,1526,b68e87faf30a3d22fe4a295fa319f719ed64c08f94b589309379950f4304e91a
